Category,ProductColor,Gender,AgeGroup,Season,Year,predicted_quantity
Feminine,BEIGE,F,19-25,Spring,2025,1635.9305
Feminine,GOLD,F,19-25,Spring,2025,1627.7405
Masculine,BLUE,M,19-25,Spring,2025,1626.3235
Masculine,RED,F,36-50,Spring,2025,1592.2946
Masculine,BLACK,F,26-35,Spring,2025,1587.575
Masculine,LILAC,M,19-25,Spring,2025,1568.9119
Masculine,BLACK,F,36-50,Spring,2025,1559.3756
Feminine,BLACK,M,19-25,Spring,2025,1549.1189
Feminine,PINK,F,19-25,Spring,2025,1546.136
Feminine,Unknown,F,65+,Spring,2025,1545.273
Feminine,MUSTARD,F,19-25,Spring,2025,1524.404
Masculine,RED,F,26-35,Spring,2025,1513.177
Masculine,YELLOW,F,36-50,Spring,2025,1495.0061
Masculine,YELLOW,F,26-35,Spring,2025,1490.6956
Feminine,TURQUOISE,F,26-35,Spring,2025,1484.5667
Masculine,WHITE,F,36-50,Spring,2025,1479.9396
Feminine,GREEN,M,19-25,Spring,2025,1464.9875
Feminine,YELLOW,M,19-25,Spring,2025,1451.6785
Feminine,BLUE,M,19-25,Spring,2025,1449.0188
Masculine,BLACK,M,19-25,Spring,2025,1444.7335
Feminine,LILAC,M,19-25,Spring,2025,1435.8474
Masculine,RED,M,19-25,Spring,2025,1430.7075
Masculine,GREEN,F,36-50,Spring,2025,1429.1381
Feminine,RED,M,19-25,Spring,2025,1424.5778
Feminine,SILVER,M,19-25,Spring,2025,1422.5411
Masculine,YELLOW,M,19-25,Spring,2025,1419.1719
Feminine,PINK,F,36-50,Spring,2025,1402.757
Masculine,PINK,F,19-25,Spring,2025,1400.0686
Masculine,WHITE,M,19-25,Spring,2025,1394.2327
Masculine,GREEN,F,26-35,Spring,2025,1390.9756
Masculine,BEIGE,F,19-25,Spring,2025,1386.8097
Feminine,BEIGE,F,36-50,Spring,2025,1385.423
Feminine,MUSTARD,F,36-50,Spring,2025,1380.0309
Masculine,Unknown,F,65+,Spring,2025,1371.8865
Feminine,TURQUOISE,M,19-25,Spring,2025,1367.321
Feminine,BEIGE,F,26-35,Spring,2025,1356.3214
Masculine,GREEN,M,19-25,Spring,2025,1339.3237
Masculine,WHITE,F,26-35,Spring,2025,1310.4869
Feminine,GOLD,F,36-50,Spring,2025,1300.9537
Feminine,MUSTARD,F,26-35,Spring,2025,1284.7145
Masculine,BURGUNDY,F,19-25,Spring,2025,1284.6012
Masculine,TURQUOISE,M,36-50,Spring,2025,1280.3329
Masculine,SILVER,M,36-50,Spring,2025,1246.2556
Feminine,Unknown,M,65+,Spring,2025,1238.4872
Feminine,WHITE,M,36-50,Spring,2025,1232.9043
Masculine,PINK,F,36-50,Spring,2025,1232.2313
Masculine,GOLD,F,19-25,Spring,2025,1220.8372
Masculine,BLUE,M,36-50,Spring,2025,1207.5112
Masculine,PINK,F,26-35,Spring,2025,1207.414
Feminine,NEUTRAL,M,36-50,Spring,2025,1197.743
Feminine,GOLD,F,26-35,Spring,2025,1169.2007
Feminine,PINK,F,26-35,Spring,2025,1166.7201
Feminine,WHITE,M,26-35,Spring,2025,1162.4727
Feminine,NEUTRAL,M,26-35,Spring,2025,1153.3287
Masculine,BEIGE,F,36-50,Spring,2025,1134.5203
Feminine,BEIGE,M,19-25,Spring,2025,1126.3575
Masculine,SILVER,M,26-35,Spring,2025,1089.1547
Children,PINK,F,19-25,Spring,2025,1071.4617
Masculine,BEIGE,F,26-35,Spring,2025,1054.2059
Masculine,BLUE,M,26-35,Spring,2025,1043.1631
Masculine,PINK,M,19-25,Spring,2025,1037.3263
Masculine,BEIGE,M,19-25,Spring,2025,1036.3917
Feminine,BLACK,M,36-50,Spring,2025,1024.9729
Masculine,Unknown,M,65+,Spring,2025,1010.89453
Feminine,GOLD,M,19-25,Spring,2025,987.3698
Children,MUSTARD,F,19-25,Spring,2025,983.8677
Children,LILAC,F,19-25,Spring,2025,960.5911
Feminine,PINK,M,19-25,Spring,2025,954.92456
Masculine,TURQUOISE,M,26-35,Spring,2025,944.10986
Feminine,LILAC,M,36-50,Spring,2025,926.4369
Children,BLACK,F,19-25,Spring,2025,910.9031
Feminine,MUSTARD,M,19-25,Spring,2025,908.2605
Feminine,BLACK,M,26-35,Spring,2025,888.3049
Children,WHITE,F,19-25,Spring,2025,880.95526
Feminine,BLUE,M,36-50,Spring,2025,876.2672
Children,SILVER,F,19-25,Spring,2025,873.8735
Children,PINK,F,36-50,Spring,2025,860.53
Masculine,MUSTARD,M,36-50,Spring,2025,852.2622
Children,MUSTARD,F,36-50,Spring,2025,851.0591
Children,NEUTRAL,F,19-25,Spring,2025,847.4657
Feminine,GREEN,M,36-50,Spring,2025,846.296
Feminine,TURQUOISE,M,36-50,Spring,2025,843.4929
Children,MUSTARD,F,26-35,Spring,2025,841.1051
Masculine,MUSTARD,M,26-35,Spring,2025,837.0305
Masculine,LILAC,M,26-35,Spring,2025,831.0339
Children,YELLOW,F,19-25,Spring,2025,826.87085
Feminine,YELLOW,M,36-50,Spring,2025,820.5908
Children,PINK,F,26-35,Spring,2025,817.3793
Feminine,SILVER,M,36-50,Spring,2025,817.2366
Masculine,BURGUNDY,F,36-50,Spring,2025,816.5826
Masculine,NEUTRAL,M,36-50,Spring,2025,815.77423
Masculine,BLACK,M,36-50,Spring,2025,810.7493
Feminine,BEIGE,M,36-50,Spring,2025,806.72314
Feminine,GREEN,M,26-35,Spring,2025,806.3622
Children,LILAC,F,36-50,Spring,2025,805.26984
Masculine,NEUTRAL,M,26-35,Spring,2025,803.46936
Masculine,BURGUNDY,F,26-35,Spring,2025,802.20996
Feminine,RED,M,36-50,Spring,2025,802.0502
Masculine,LILAC,M,36-50,Spring,2025,801.1066
Masculine,BURGUNDY,M,19-25,Spring,2025,794.8254
Children,BLACK,F,36-50,Spring,2025,792.5595
Feminine,YELLOW,M,26-35,Spring,2025,788.5305
Feminine,SILVER,M,26-35,Spring,2025,781.6826
Children,SILVER,F,36-50,Spring,2025,781.1027
Masculine,RED,M,36-50,Spring,2025,780.9533
Children,LILAC,F,26-35,Spring,2025,776.6585
Children,BLUE,F,19-25,Spring,2025,771.29126
Feminine,LILAC,M,26-35,Spring,2025,770.3453
Masculine,YELLOW,M,36-50,Spring,2025,757.04663
Children,YELLOW,F,36-50,Spring,2025,752.086
Masculine,RED,M,26-35,Spring,2025,751.99146
Feminine,RED,M,26-35,Spring,2025,751.8838
Children,WHITE,F,36-50,Spring,2025,749.71906
Children,TURQUOISE,F,19-25,Spring,2025,746.76355
Feminine,BURGUNDY,F,19-25,Spring,2025,746.13586
Children,PINK,M,19-25,Spring,2025,739.695
Feminine,BURGUNDY,F,36-50,Spring,2025,739.26874
Masculine,GOLD,F,26-35,Spring,2025,737.7318
Children,BEIGE,F,19-25,Spring,2025,736.9376
Children,LILAC,M,19-25,Spring,2025,730.0741
Children,MUSTARD,M,19-25,Spring,2025,716.049
Masculine,GREEN,M,36-50,Spring,2025,715.6087
Children,BLUE,F,36-50,Spring,2025,709.52594
Masculine,GOLD,F,36-50,Spring,2025,707.37054
Children,SILVER,F,26-35,Spring,2025,706.84076
Feminine,BLUE,M,26-35,Spring,2025,705.2042
Children,WHITE,F,26-35,Spring,2025,695.478
Children,NEUTRAL,F,36-50,Spring,2025,693.1349
Masculine,GOLD,M,19-25,Spring,2025,682.25073
Children,BLUE,F,26-35,Spring,2025,672.8279
Children,YELLOW,F,26-35,Spring,2025,670.4723
Children,SILVER,M,19-25,Spring,2025,668.72943
Children,BLACK,F,26-35,Spring,2025,667.09546
Children,GREEN,F,19-25,Spring,2025,662.3844
Children,NEUTRAL,F,26-35,Spring,2025,659.89655
Children,BEIGE,F,26-35,Spring,2025,657.326
Masculine,WHITE,M,36-50,Spring,2025,655.63696
Masculine,BLUE,F,0-18,Spring,2025,653.7228
Feminine,BURGUNDY,F,26-35,Spring,2025,653.1487
Children,RED,F,19-25,Spring,2025,650.925
Masculine,TURQUOISE,F,0-18,Spring,2025,644.7558
Feminine,WHITE,F,51-65,Spring,2025,643.6006
Children,BEIGE,F,36-50,Spring,2025,643.4856
Children,BLACK,M,19-25,Spring,2025,643.03284
Feminine,GOLD,M,36-50,Spring,2025,632.72217
Feminine,TURQUOISE,M,26-35,Spring,2025,632.0654
Children,BLUE,M,19-25,Spring,2025,631.31244
Feminine,NEUTRAL,F,51-65,Spring,2025,630.29956
Masculine,TURQUOISE,F,51-65,Spring,2025,626.6046
Feminine,NEUTRAL,F,0-18,Spring,2025,626.4983
Children,WHITE,M,19-25,Spring,2025,624.85004
Children,YELLOW,M,19-25,Spring,2025,622.7185
Feminine,BLACK,F,51-65,Spring,2025,619.6995
Feminine,WHITE,F,0-18,Spring,2025,615.7432
Children,GREEN,F,36-50,Spring,2025,614.9015
Masculine,BLACK,M,26-35,Spring,2025,614.7073
Children,BEIGE,M,19-25,Spring,2025,605.21484
Masculine,WHITE,M,26-35,Spring,2025,598.0712
Masculine,GREEN,M,26-35,Spring,2025,592.6834
Children,RED,F,26-35,Spring,2025,591.9064
Children,RED,F,36-50,Spring,2025,579.30383
Masculine,SILVER,F,51-65,Spring,2025,578.9827
Masculine,SILVER,F,0-18,Spring,2025,576.7611
Masculine,YELLOW,M,26-35,Spring,2025,574.27814
Masculine,BLUE,F,51-65,Spring,2025,574.03894
Masculine,LILAC,F,0-18,Spring,2025,567.05225
Feminine,GOLD,M,26-35,Spring,2025,566.1889
Children,TURQUOISE,F,36-50,Spring,2025,557.147
Feminine,BEIGE,M,26-35,Spring,2025,536.8757
Masculine,NEUTRAL,F,0-18,Spring,2025,535.5889
Children,NEUTRAL,M,19-25,Spring,2025,534.92474
Feminine,MUSTARD,M,36-50,Spring,2025,533.66003
Masculine,PINK,M,36-50,Spring,2025,530.408
Children,PINK,M,36-50,Spring,2025,529.23065
Masculine,SILVER,M,0-18,Spring,2025,528.1475
Masculine,MUSTARD,F,0-18,Spring,2025,527.69324
Feminine,BURGUNDY,M,19-25,Spring,2025,524.8236
Children,GREEN,F,26-35,Spring,2025,522.4594
Feminine,PINK,M,36-50,Spring,2025,518.8058
Feminine,MUSTARD,M,26-35,Spring,2025,518.4902
Children,GOLD,F,19-25,Spring,2025,517.3141
Feminine,RED,F,51-65,Spring,2025,507.74258
Feminine,PINK,M,26-35,Spring,2025,501.40894
Masculine,TURQUOISE,M,0-18,Spring,2025,497.54663
Children,TURQUOISE,F,26-35,Spring,2025,492.79907
Masculine,NEUTRAL,F,51-65,Spring,2025,487.68887
Feminine,GREEN,F,51-65,Spring,2025,486.1996
Feminine,LILAC,F,51-65,Spring,2025,483.37778
Children,LILAC,M,36-50,Spring,2025,480.6731
Feminine,BLACK,F,0-18,Spring,2025,479.85776
Feminine,TURQUOISE,F,51-65,Spring,2025,475.39816
Feminine,SILVER,F,51-65,Spring,2025,475.1088
Feminine,BLUE,F,51-65,Spring,2025,472.98306
Masculine,BLUE,M,0-18,Spring,2025,472.6211
Feminine,GREEN,F,0-18,Spring,2025,472.4844
Children,TURQUOISE,M,19-25,Spring,2025,471.50677
Feminine,LILAC,F,0-18,Spring,2025,470.8712
Children,RED,M,19-25,Spring,2025,462.05426
Feminine,YELLOW,F,51-65,Spring,2025,461.7578
Masculine,GOLD,M,36-50,Spring,2025,458.7436
Children,GREEN,M,19-25,Spring,2025,458.58063
Masculine,BLACK,F,0-18,Spring,2025,457.99567
Masculine,BEIGE,M,36-50,Spring,2025,454.0173
Masculine,RED,F,0-18,Spring,2025,451.0984
Masculine,BURGUNDY,M,36-50,Spring,2025,450.01273
Children,MUSTARD,M,36-50,Spring,2025,448.47537
Feminine,YELLOW,F,0-18,Spring,2025,445.22452
Feminine,SILVER,F,0-18,Spring,2025,442.5743
Feminine,RED,F,0-18,Spring,2025,440.95844
Masculine,PINK,M,26-35,Spring,2025,440.8062
Masculine,LILAC,F,51-65,Spring,2025,433.56714
Masculine,RED,F,51-65,Spring,2025,426.4049
Masculine,WHITE,F,0-18,Spring,2025,418.76355
Masculine,BEIGE,M,26-35,Spring,2025,418.59436
Masculine,GREEN,F,0-18,Spring,2025,418.55917
Masculine,YELLOW,F,0-18,Spring,2025,415.02402
Feminine,BLUE,F,0-18,Spring,2025,413.6343
Children,GOLD,F,36-50,Spring,2025,411.3133
Children,SILVER,M,36-50,Spring,2025,405.4971
Masculine,MUSTARD,F,51-65,Spring,2025,401.09045
Feminine,WHITE,M,0-18,Spring,2025,390.10913
Feminine,NEUTRAL,M,0-18,Spring,2025,388.74728
Masculine,GREEN,F,51-65,Spring,2025,383.11325
Masculine,BLUE,M,51-65,Spring,2025,382.2903
Children,WHITE,M,36-50,Spring,2025,379.0919
Masculine,YELLOW,F,51-65,Spring,2025,377.84155
Children,BLACK,M,36-50,Spring,2025,376.85654
Children,GOLD,F,26-35,Spring,2025,370.82132
Children,MUSTARD,M,26-35,Spring,2025,366.56952
Masculine,BLACK,F,51-65,Spring,2025,365.1428
Masculine,MUSTARD,M,0-18,Spring,2025,364.78668
Feminine,MUSTARD,F,51-65,Spring,2025,355.69635
Children,YELLOW,M,36-50,Spring,2025,355.60605
Children,LILAC,M,26-35,Spring,2025,355.5532
Feminine,BURGUNDY,M,26-35,Spring,2025,354.6555
Feminine,PINK,F,51-65,Spring,2025,352.71268
Feminine,BEIGE,F,51-65,Spring,2025,351.85944
Children,PINK,M,26-35,Spring,2025,351.26523
Feminine,BEIGE,F,0-18,Spring,2025,346.78412
Feminine,MUSTARD,F,0-18,Spring,2025,346.71582
Children,BURGUNDY,F,19-25,Spring,2025,346.47083
Masculine,TURQUOISE,M,51-65,Spring,2025,346.16498
Masculine,NEUTRAL,M,0-18,Spring,2025,344.8948
Masculine,LILAC,M,0-18,Spring,2025,344.07312
Children,SILVER,M,26-35,Spring,2025,343.3199
Masculine,BURGUNDY,M,26-35,Spring,2025,341.04706
Masculine,PINK,F,0-18,Spring,2025,339.37216
Feminine,TURQUOISE,F,0-18,Spring,2025,338.24612
Feminine,GOLD,F,51-65,Spring,2025,336.92368
Children,NEUTRAL,M,36-50,Spring,2025,334.0566
Masculine,GOLD,M,26-35,Spring,2025,333.36356
Children,WHITE,M,26-35,Spring,2025,332.86172
Masculine,LILAC,M,51-65,Spring,2025,329.83414
Feminine,BLACK,M,0-18,Spring,2025,327.57553
Children,BLUE,M,36-50,Spring,2025,327.55865
Children,NEUTRAL,M,26-35,Spring,2025,320.1718
Feminine,LILAC,M,0-18,Spring,2025,319.40546
Masculine,SILVER,M,51-65,Spring,2025,319.20245
Feminine,BURGUNDY,M,36-50,Spring,2025,317.62036
Feminine,NEUTRAL,M,51-65,Spring,2025,316.8142
Feminine,GREEN,M,0-18,Spring,2025,312.6259
Feminine,GOLD,F,0-18,Spring,2025,311.40698
Children,BEIGE,M,26-35,Spring,2025,311.26428
Masculine,WHITE,F,51-65,Spring,2025,310.35583
Feminine,WHITE,M,51-65,Spring,2025,307.11203
Feminine,BLUE,M,0-18,Spring,2025,306.68988
Masculine,RED,M,0-18,Spring,2025,298.6256
Feminine,TURQUOISE,M,0-18,Spring,2025,296.87772
Children,BEIGE,M,36-50,Spring,2025,294.5409
Feminine,LILAC,M,51-65,Spring,2025,293.8362
Feminine,RED,M,0-18,Spring,2025,293.40976
Children,BLUE,M,26-35,Spring,2025,291.4169
Children,YELLOW,M,26-35,Spring,2025,289.0134
Masculine,BLACK,M,0-18,Spring,2025,287.97827
Masculine,BEIGE,F,0-18,Spring,2025,283.80008
Masculine,PINK,M,0-18,Spring,2025,283.29657
Children,GOLD,M,19-25,Spring,2025,282.5322
Masculine,WHITE,M,0-18,Spring,2025,278.70438
Feminine,BLACK,M,51-65,Spring,2025,278.4789
Feminine,YELLOW,M,0-18,Spring,2025,277.51636
Children,BLACK,M,26-35,Spring,2025,273.79752
Masculine,YELLOW,M,0-18,Spring,2025,269.53674
Feminine,PINK,F,0-18,Spring,2025,268.204
Masculine,BURGUNDY,F,0-18,Spring,2025,268.20013
Masculine,MUSTARD,M,51-65,Spring,2025,266.16776
Feminine,BEIGE,M,0-18,Spring,2025,262.43774
Masculine,NEUTRAL,M,51-65,Spring,2025,261.78195
Masculine,GREEN,M,0-18,Spring,2025,259.06638
Feminine,SILVER,M,0-18,Spring,2025,255.37613
Feminine,RED,M,51-65,Spring,2025,253.2098
Children,BURGUNDY,F,36-50,Spring,2025,249.37222
Children,MUSTARD,F,51-65,Spring,2025,249.06998
Masculine,BEIGE,F,51-65,Spring,2025,248.71321
Feminine,GREEN,M,51-65,Spring,2025,246.68382
Masculine,WHITE,M,51-65,Spring,2025,245.44188
Masculine,PINK,F,51-65,Spring,2025,243.50688
Children,MUSTARD,F,0-18,Spring,2025,243.44519
Masculine,RED,M,51-65,Spring,2025,239.42168
Children,GREEN,M,36-50,Spring,2025,239.38753
Feminine,BLUE,M,51-65,Spring,2025,238.7577
Feminine,PINK,M,0-18,Spring,2025,238.26746
Children,Unknown,F,65+,Spring,2025,236.28674
Children,TURQUOISE,M,36-50,Spring,2025,236.1376
Children,BURGUNDY,F,26-35,Spring,2025,235.59465
Feminine,TURQUOISE,M,51-65,Spring,2025,235.47214
Masculine,BLACK,M,51-65,Spring,2025,232.55301
Children,LILAC,F,0-18,Spring,2025,231.43355
Children,RED,M,26-35,Spring,2025,231.42053
Masculine,GOLD,F,0-18,Spring,2025,229.70538
Children,NEUTRAL,F,0-18,Spring,2025,227.61722
Children,PINK,F,51-65,Spring,2025,227.41046
Children,PINK,F,0-18,Spring,2025,224.80405
Feminine,YELLOW,M,51-65,Spring,2025,224.34355
Children,BURGUNDY,M,19-25,Spring,2025,222.74994
Feminine,GOLD,M,0-18,Spring,2025,218.25314
Children,TURQUOISE,M,26-35,Spring,2025,217.02226
Children,GREEN,M,26-35,Spring,2025,215.27898
Masculine,BURGUNDY,F,51-65,Spring,2025,214.58868
Children,BLACK,F,0-18,Spring,2025,212.87766
Children,WHITE,F,0-18,Spring,2025,212.55595
Feminine,GOLD,M,51-65,Spring,2025,211.35487
Masculine,GOLD,F,51-65,Spring,2025,211.34949
Children,BLACK,F,51-65,Spring,2025,211.23442
Children,WHITE,F,51-65,Spring,2025,209.7656
Masculine,BEIGE,M,0-18,Spring,2025,208.20618
Masculine,YELLOW,M,51-65,Spring,2025,207.52197
Children,LILAC,F,51-65,Spring,2025,206.57074
Children,RED,M,36-50,Spring,2025,205.02388
Children,SILVER,F,51-65,Spring,2025,204.80907
Masculine,GREEN,M,51-65,Spring,2025,202.78189
Children,YELLOW,F,51-65,Spring,2025,202.05473
Feminine,PINK,M,51-65,Spring,2025,200.79485
Feminine,SILVER,M,51-65,Spring,2025,200.25768
Feminine,BURGUNDY,F,51-65,Spring,2025,200.15277
Feminine,BURGUNDY,F,0-18,Spring,2025,197.5914
Children,YELLOW,F,0-18,Spring,2025,196.00777
Children,BEIGE,F,0-18,Spring,2025,194.96713
Children,LILAC,M,0-18,Spring,2025,189.87111
Children,BLUE,F,0-18,Spring,2025,189.1689
Feminine,BEIGE,M,51-65,Spring,2025,187.41898
Masculine,PINK,M,51-65,Spring,2025,185.07187
Masculine,BURGUNDY,M,0-18,Spring,2025,184.19879
Children,PINK,M,0-18,Spring,2025,181.47649
Feminine,MUSTARD,M,0-18,Spring,2025,176.65083
Masculine,BEIGE,M,51-65,Spring,2025,176.27254
Children,MUSTARD,M,0-18,Spring,2025,176.26338
Children,NEUTRAL,F,51-65,Spring,2025,175.83966
Children,Unknown,M,65+,Spring,2025,174.05528
Children,BEIGE,F,51-65,Spring,2025,163.12852
Children,SILVER,F,0-18,Spring,2025,160.49348
Children,NEUTRAL,M,0-18,Spring,2025,156.68335
Children,GOLD,M,36-50,Spring,2025,154.40291
Children,BLACK,M,0-18,Spring,2025,153.19922
Children,WHITE,M,0-18,Spring,2025,151.14561
Feminine,MUSTARD,M,51-65,Spring,2025,146.50246
Children,GREEN,F,51-65,Spring,2025,144.71048
Children,WHITE,M,51-65,Spring,2025,144.44058
Masculine,BURGUNDY,M,51-65,Spring,2025,143.78592
Children,BLUE,F,51-65,Spring,2025,143.2122
Children,GOLD,F,0-18,Spring,2025,142.99258
Masculine,GOLD,M,0-18,Spring,2025,142.66534
Children,RED,F,51-65,Spring,2025,142.25946
Children,GOLD,M,26-35,Spring,2025,141.65388
Children,SILVER,M,0-18,Spring,2025,140.54593
Children,PINK,M,51-65,Spring,2025,139.74998
Children,TURQUOISE,F,0-18,Spring,2025,138.92657
Children,RED,F,0-18,Spring,2025,137.80196
Children,LILAC,M,51-65,Spring,2025,136.96774
Children,TURQUOISE,F,51-65,Spring,2025,134.35175
Children,GREEN,F,0-18,Spring,2025,133.14775
Children,NEUTRAL,M,51-65,Spring,2025,132.29482
Children,BLUE,M,0-18,Spring,2025,128.99136
Children,BLACK,M,51-65,Spring,2025,127.260124
Feminine,BURGUNDY,M,0-18,Spring,2025,125.12603
Children,MUSTARD,M,51-65,Spring,2025,120.71309
Feminine,BURGUNDY,M,51-65,Spring,2025,118.862564
Children,GOLD,F,51-65,Spring,2025,118.12091
Children,BURGUNDY,M,26-35,Spring,2025,118.0371
Children,YELLOW,M,0-18,Spring,2025,117.590225
Children,BEIGE,M,0-18,Spring,2025,115.24773
Masculine,GOLD,M,51-65,Spring,2025,114.96638
Children,TURQUOISE,M,0-18,Spring,2025,110.046776
Children,YELLOW,M,51-65,Spring,2025,109.15151
Children,SILVER,M,51-65,Spring,2025,106.818726
Children,BURGUNDY,M,36-50,Spring,2025,106.35831
Children,BLUE,M,51-65,Spring,2025,104.706184
Children,BURGUNDY,F,51-65,Spring,2025,97.92142
Children,RED,M,51-65,Spring,2025,96.92893
Children,RED,M,0-18,Spring,2025,91.74335
Feminine,Unknown,D,19-25,Spring,2025,88.31729
Children,BEIGE,M,51-65,Spring,2025,79.861664
Children,GREEN,M,0-18,Spring,2025,78.305595
Children,GOLD,M,0-18,Spring,2025,70.71667
Children,GREEN,M,51-65,Spring,2025,69.678314
Children,TURQUOISE,M,51-65,Spring,2025,67.97606
Feminine,Unknown,D,36-50,Spring,2025,64.43633
Masculine,Unknown,D,19-25,Spring,2025,62.334827
Masculine,Unknown,D,36-50,Spring,2025,59.953506
Feminine,WHITE,F,65+,Spring,2025,59.34427
Feminine,NEUTRAL,F,65+,Spring,2025,58.14695
Masculine,RED,F,65+,Spring,2025,56.378067
Children,BURGUNDY,F,0-18,Spring,2025,56.279976
Masculine,TURQUOISE,F,65+,Spring,2025,56.180775
Masculine,SILVER,F,65+,Spring,2025,54.273426
Feminine,Unknown,D,26-35,Spring,2025,54.096855
Masculine,BLUE,F,65+,Spring,2025,53.36729
Masculine,TURQUOISE,M,65+,Spring,2025,51.712406
